*Η απορρόφηση ενός φαρμάκου επηρεάζεται από:,το Ph,την αιματική ροή προς το σημείο απορρόφησης,την συνολική διαθέσιμη επιφάνεια για απορρόφηση και τον χρόνο επαφής,!Όλα τα παραπάνω
"Σε περίπτωση παρουσίασης πνευμονίας ή ουρολοίμωξης σε κάποιον ασθενή ενδονοσοκομειακά, και τα αποτελέσματα του εργαστηρίου δείξουν πως οφείλεται στον μικροοργανισμό Klebsiella, χορηγείται στον ασθενή:",Θεραπεία με κεφαλοσπορίνες και φθοριοκινολόνες,Θεραπεία με κετοκοναζόλη,Θεραπεία με ερθυθρομυκίνη,Θεραπεία με αμπικιλλίνη
"Σε περίπτωση παρουσίασης λοίμωξης ενός τραύματος σε κάποιον ασθενή ενδονοσοκομειακά, και τα αποτελέσματα του μικροβιολογικού εργαστηρίου δείξουν πως οφείλεται στον μικροοργανισμό Serratia, χορηγείται στον ασθενή:",Θεραπεία με συνδυασμό πιπερακιλλίνης/ ταζοβακτάμης,Θεραπεία με κετοκοναζόλη,Θεραπεία με ερθυθρομυκίνη,Θεραπεία με αμπικιλλίνη
Η ερυθρομοκυκίνη μεταβολίζεται από το ήπαρ θα πρέπει να χρησιμοποιείαι με προσοχή από ασθενείς με:,Ηπατική ανεπάρκεια,Νεφρική ανεπάρκεια,Καρδιακή ανεπάρκεια,Καρδιακή και ηπατική ανεπάρκεια
*Σε παιδιά κάτω των 8 ετών δεν πρέπει να χορηγούνται τετρακυκλίνες διότι:,!Μπορεί να ανακόψουν την ανάπτυξη τους.,Προκαλόυν ρήξη των τενόντων. ,Δεν περνούν μέσα στο εγκεφαλονωτιαίο υγρό.,Τίποτα από τα παραπάνω
Ποιό από τα ακόλουθα φάρμακα για την κεφαλαλγία αντεδείκνυται σε ασθενέις με περιφερική αγγειακή νόσο;,Eργοταμίνη ,Aσπιρίνη ,Iβουπροφαίνη ,Aκεταμινοφαίνη 
Τετρακυκλίνες θεωρούνται τα αντιβιοτικά:,ευρέος φάσματος,στενού φάσματος,εκτεταμέου φάσματος,μεσαίου φάσματος
!Η ακεταμινοφαίνη (παρακεταμόλη): ,Δεν αυξανει το χρόνο των αιμοπεταλίων ,Δεν θεωρείται ΜΣΑΦ,Δεν επηρεάζει τη λειτουργικότητα των αιμοπεταλίων ,!Όλα είναι σωστά.
"Κατά τη διάρκεια της εγκυμοσύνης μια γυναίκα εμφανίζει ήπια δυσκοιλιότητα, οπότε θα πρέπει να της χορηγηθεί:",Δουκοσικό ,Λοπεραμίδη ,Καστορέλαιο ,Παραφινέλαιο
Πολλά αντισταμινικά χρησιμοποιούνται στην αντιμετώπιση:,Αϋπνίας ,Υπνηλίας ,Διάρροιας ,Δυσκοιλιότητας
