Ερώτηση (Κλινικό  περιστατικό),Απάντηση Α,Απάντηση Β,Απάντηση Γ,Απάντηση Δ
Ένας ασθενής υποβάλλεται σε γενική αναισθησία# γιατί πρόκειται να χειρουργηθεί στο στομάχι. Για να μειωθούν οι εκκρίσεις# χορηγείται:,υοσκυαμίνη,σκοπολαμίνη,χλωριούχο αμπενόνιο,φυσοστιγμίνη
Η χορήγηση σκοπολαμίνης περιορίζει τις εκκρίσεις μεν# αλλά όχι τόσο αποτελεσματικά στον γαστρεντερικό σωλήνα. Για τον λόγο αυτό πρέπει να χορηγηθεί:,υοσκυαμίνη,χλωριούχο αμπενόνιο,φυσοστιγμίνη,δικυκλομίνη
Ένας ασθενής υποβάλλεται σε γενική αναισθησία# γιατί πρόκειται να χειρουργηθεί στο στομάχι. Για να μειωθούν οι εκκρίσεις# χορηγείται:,σιμετιδίνη,φαινυτοϊνη,καρβαμαζεπίνη,ριφαμπικίνη
Η χορήγηση φαινυτοϊνης αυξάνει μεν τη δράση της θεοφυλλίνης# αλλά φέρει και ανεπιθύμητες ενέργειες. Για την αποφυγή αυτών# θα πρέπει να χορηγηθεί:,σιμετιδίνη,καρβαμαζεπίνη,ριφαμπικίνη,ρεσερπίνη
Ο ΔΔ είναι ένας 50χρονος με διεγνωσμένη υπέρταση.Τα συνοδά νοσήματα του περιλαμβάνουν διαβήτη και χρόνια ηπατίτιδα C με μέτρια έκπτωση της ηπατικής λειτουργίας. Χρειάζεται δύο φάρμακα για την αρχική θεραπεία της υπέρτασης του. Ποιό από τα παρακάτω θα πρέπει να συνταγογραφηθεί σε συνδυασμό με ένα θειαζιδικό διουρητικό;,λισοπρίλη,σπιρολακτονη,φοσινοπρίλη,φουρασεμίδη
*Ενας 50χρονος με πρωτοπαθή υπερπαραθυρεοειδισμό# εμφανίζει φλεγμονή και επισκέπτεται τον ιατρό του. Οι πιο σημαντικές θεραπευτικές ιδιότητες των γλυκοκορτικοειδών είναι οι ισχυρές αντιφλεγμονώδεις και ανοσοκατασταλτικές δράσεις τους. Μπορεί ο συγκεκριμένος κύριος να λάβει αυτή την αγωγή?,!Όχι,Ναι,Ναι# αλλά με συγκεκριμένο τρόπο και δοσολογία χορήγησης.,-
*Ενας 50χρονος με πρωτοπαθή υπερπαραθυρεοειδισμό# εμφανίζει φλεγμονή και επισκέπτεται τον ιατρό του. Οι πιο σημαντικές θεραπευτικές ιδιότητες των γλυκοκορτικοειδών είναι οι ισχυρές αντιφλεγμονώδεις και ανοσοκατασταλτικές δράσεις τους. Μπορεί ο συγκεκριμένος κύριος να λάβει αυτή την αγωγή?,!Όχι,Ναι,Ναι# αλλά με συγκεκριμένο τρόπο και δοσολογία χορήγησης.,-
Πρέπει να γινει άμμεση διακοπή της χορήγησης των γλυκοκορτικοειδών ?,Όχι,Ναι,Πρέπει να συνεχίστει η χορήγηση.,Μπορεί να διακοπεί η χορήγηση σταδιακά.
Ένας άνδρας 65 ετων παρουσιάζει μη ελεγχόμενες κρίσεις στηθάγχης που περιορίζουν την ικανότητα του να κάνει δουλειές στο σπίτι. Του χορηγείται η μέγιστη δόση ενος β-αναστολέα για μεγάλο χρονικό διάστημα και έχει χαμηλό καρδιακό ρυθμό και χαμηλή αρτηριακή πίεση. Ο ίδιος δεν ήταν σε θέση να ανεχτεί μια αύξηση στη δόση του μονοκιτρικού ισοσορβίτη λόγω πονοκεφάλων. Ποιά είναι η πλέον κατάλληλη προσθήκη στη θεραπεία?,ρανολαζίνη,αμλοδιπίνη,ασπιρίνη,βεραπαμίλη
*Η κατάσταση δεν βελτιώθηκε. Στην περίπτωση που επιλέξατε την αμλοδιπινη ή βραπαμίλη αυξήθηκε η αρτηριακή πίεση. Ποιά είναι η επόμενη κίνηση σας;,Υποστήριξη του καρδιαγγειακού συστήματος και παρακολούθηση καρδιακής και αναπνευστικής λειτουργίας,Χορήγηση αγγειοσυσπαστικών ουσιών με την προϋπόθεση οτι δεν υπάρχει αντένδειξη,Σε ορισμένες περιπτώσεις πλύση στομάχου,!Όλα τα παραπανω
*Ενας ασθενής ο οποίος λαμβάνει εναν αναστολέα PDE-5 για στυτική δυσλειτουργία έχει διαγνωστεί με στηθάγχη. Μπορεί να λάβει φαρμακευτική αγωγή με νιτρογλυκερίνη για την αντιμετώπιση της στηθάγχης;,!Όχι,Ναι# αλλά με συγκεκριμένο τρόπο και δοσολογία χορήγησης.,-,-
*Τα νιτρώδη οταν λαμβάνονται με αναστολέα PDE-5# μπορούν να προκαλέσουν απειλητική για την ζωή υπόταση. Άρα απαιτείται διακοπή της νιτρογλυκερίνης και χορήγηση: ,Μετοπρολόλη,Διλτιαζέμη,Αμιλοδιπίνη,!Όλα τα παραπανω αποτελουν δυνατές επιλογες
Μια ασθενής 80 ετών με άσθμα και χαμηλή αρτηριακή πίεση απαιτεί αναισθησία για χειρουργική επέμβαση έκτακτης ανάγκης. Ποιός απο τους παρακάτω παράγοντες θα είναι ο πλέον κατάλληλος για την εισαγωγή αναισθησίας σε αυτή την ασθενή;,κεταμίνη,δεσφουράνιο,προποφόλη,θειοπεντάλη
Είτε έπεσε περαιτέρω η πίεση# είτε προκλήθηκε βροχοσπασμός. Η αναισθησία δεν πέτυχε ή εμφανίστηκε επιπλοκή. Ποιό είναι το επόμενο βήμα;  ,Tεχνητός αερισμός και χορήγηση παραγόντων για την αύξηση του όγκου του πλάσματος. ,Άμεση χορήγηση παραγόντων για την αύξηση πλάσματος,Αναβολή επέμβασης,Χορήγηση επινεφρίνης
"Ένας 50χρονος άνδρας# με φαρμακευτική αγωγή προπανόλης για την θεραπεία της υπέρτασης, προσήλθε στο τμήμα επειγόντων περιστατικών με αναφυλακτικό σοκ# μετά απο τσίμπημα απο σφήκα. Μπορεί να του χορηγηθεί επινεφρίνη για την αντιμετώπιση του βρογχοσπασμού και της υπότασης;",Όχι,Ναι ,Ναι# αλλά σε δύο δόσεις,Ναι# αλλά στη μισή ποσότητα της προβλεπόμενης
Η επινεφρινη κατα την αναφυλαξία αντιμετωπίζει την υπόταση ενεργοποιώντας τους β1 υποδοχείς και ανακουφίζει απο τον βρογχοσπασμό με την ενεργοποίηση των β2 υποδοχέων. Η προπανόλη είναι ένας μη εκλεκτικός β αποκλειστής. Άρα γι αυτό η επινεφρίνη ΔΕΝ μπορει να χρησιμοποιηθεί. Ποιό είναι το φάρμακο που χορηγείται στην αναφυλαξία και δεν έχει σχεδόν καμία αντένδειξη;,αδρεναλίνη,μετοπρολόλη,θειαπεντάλη,δεσφουράνιο
Μια γυναίκα 25 ετών με ιστορικό μυοκλονικών κρίσεων ελέγχεται καλά με βαλπροϊκό. Αναφέρει οτι επιθυμεί να μείνει έγκυος το επόμενο έτος. Αναφορικά με την αντιεπιληπτική αγωγή της# ποιό απο τα ακόλουθα θα πρέπει να ληφθεί υπόψιν; Αναφέρεται οτι δεν έχει λάβει ποτέ άλλη αντιεπιληπτική αγωγή.,Να εξεταστεί η αλλαγή σε λαμοτριγίνη.,Να παραμείνει στην τρέχουσα θεραπεία της.,Να εξεταστεί το ενδεχόμενο προσθήκης ενός δεύτερου αντιεπιληπτικού φαρμάκου.,Μείωση της δόσης του βαλπροϊκού.
Η γυναίκα δεν κατάφερε να μείνει έγκυος. Επομένως:,Το βαλπροϊκό είναι κακή επιλογή για γυναίκες σε αναπαραγωγική ηλικία και πρέπει να αντικατασταθεί η χορήγησή του με αυτή άλλου φαρμάκου.,Υπάρχει γονιδιακό πρόβλημα.,Πρέπει να χορηγηθεί τοπιραμάτη και λαμοτριγίνη.,Πρέπει να χορηγηθεί τοπιραμάτη και ζονισαμίδη.
